datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
1990-01-01,0.0,100000.0,0.0,100000.0,,,
1990-01-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-02,122.3214,99878.6107,1.3,100000.9321,9.321000000062085e-06,1.000009321,0.0
1990-02-05,125.0,99878.6107,1.3,100003.6107,2.6785750329993974e-05,1.0000361070000001,0.0
1990-02-06,124.10709999999997,99878.6107,1.3,100002.7178,-8.928677612263236e-06,1.000027178,8.929000000046372e-06
1990-02-07,118.75,99878.6107,1.3,99997.3607,-5.356954408686221e-05,0.9999736070000002,6.249999999996536e-05
1990-02-08,117.85709999999997,99878.6107,1.3,99996.4678,-8.929235669419278e-06,0.999964678,7.142900000012276e-05
1990-02-09,122.3214,99878.6107,1.3,100000.9321,4.464457693575952e-05,1.000009321,2.6786000000056376e-05
1990-02-12,121.4286,99878.6107,1.3,100000.0393,-8.927916782863754e-06,1.000000393,3.571400000002001e-05
1990-02-13,123.2143,99878.6107,1.3,100001.82500000001,1.7856992982290265e-05,1.00001825,1.7857000000010004e-05
1990-02-14,122.3214,99878.6107,1.3,100000.9321,-8.92883704883829e-06,1.000009321,2.6786000000056376e-05
1990-02-15,122.3214,99878.6107,1.3,100000.9321,0.0,1.000009321,2.6786000000056376e-05
1990-02-16,120.5357,99878.6107,1.3,99999.1464,-1.7856833556484375e-05,0.999991464,4.464300000006638e-05
1990-02-20,119.64290000000003,99878.6107,1.3,99998.25360000001,-8.92807620989089e-06,0.9999825360000002,5.357099999991899e-05
1990-02-21,0.0,99996.95360000001,2.6,99996.95360000001,-1.3000227035986356e-05,0.9999695360000002,6.657099999995975e-05
1990-02-22,0.0,99996.95360000001,2.6,99996.95360000001,0.0,0.9999695360000002,6.657099999995975e-05
1990-02-23,0.0,99996.95360000001,2.6,99996.95360000001,0.0,0.9999695360000002,6.657099999995975e-05
1990-02-26,0.0,99996.95360000001,2.6,99996.95360000001,0.0,0.9999695360000002,6.657099999995975e-05
1990-02-27,119.64290000000003,99874.225,3.9000000000000004,99993.86790000001,-3.08579400561948e-05,0.9999386790000002,9.742799999989948e-05
1990-02-28,121.4286,99874.225,3.9000000000000004,99995.6536,1.7858095076261904e-05,0.9999565360000002,7.957099999988948e-05
1990-03-01,0.0,99994.3536,5.2,99994.3536,-1.3000565056597857e-05,0.9999435360000002,9.257099999993024e-05
1990-03-02,0.0,99994.3536,5.2,99994.3536,0.0,0.9999435360000002,9.257099999993024e-05
1990-03-05,0.0,99994.3536,5.2,99994.3536,0.0,0.9999435360000002,9.257099999993024e-05
1990-03-06,0.0,99994.3536,5.2,99994.3536,0.0,0.9999435360000002,9.257099999993024e-05
1990-03-07,126.3393,99867.16070000001,6.5,99993.50000000001,-8.536482003829171e-06,0.9999350000000002,0.00010110699999987816
1990-03-08,131.25,99867.16070000001,6.5,99998.41070000001,4.911019216247148e-05,0.9999841070000002,5.199999999994098e-05
1990-03-09,131.6964,99867.16070000001,6.5,99998.85710000001,4.464070947562959e-06,0.9999885710000003,4.7535999999848144e-05
1990-03-12,130.8036,99867.16070000001,6.5,99997.9643,-8.92810203934058e-06,0.9999796430000002,5.64639999999228e-05
1990-03-13,131.6964,99867.16070000001,6.5,99998.85710000001,8.92818175102228e-06,0.9999885710000003,4.7535999999848144e-05
1990-03-14,132.14290000000003,99867.16070000001,6.5,99999.30360000001,4.465051031132816e-06,0.9999930360000003,4.307099999978359e-05
1990-03-15,131.25,99867.16070000001,6.5,99998.41070000001,-8.929062182083669e-06,0.9999841070000003,5.199999999982996e-05
1990-03-16,143.75,99867.16070000001,6.5,100010.91070000001,0.00012500198665654771,1.0001091070000003,0.0
1990-03-19,151.3393,99867.16070000001,6.5,100018.50000000001,7.588472044584016e-05,1.0001850000000003,0.0
1990-03-20,147.76790000000003,99867.16070000001,6.5,100014.92860000001,-3.570739413205626e-05,1.0001492860000003,3.571400000002001e-05
1990-03-21,148.6607,99867.16070000001,6.5,100015.8214,8.92666737351e-06,1.0001582140000003,2.6786000000056376e-05
